what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1337885560082
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1337885560082
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1337885560084
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1337885560084
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1337885560085
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1337885560086
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1337885560086
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1337885560086
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1337885560087
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1337885560088
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1337885560088
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1337885560089
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1337885560089
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1337885560090
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1337885560091
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1337885560093
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1337885560093
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1337885560094
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1337885560094
os,sysinfo,,,"win32",1337885560097
arch,sysinfo,,,"x86_64",1337885560097
ws,sysinfo,,,"win32",1337885560097
locale,sysinfo,,,"nl_NL",1337885560097
processors,sysinfo,,,"6",1337885560097
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1337885560097
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1337885560097
java.specification.name,sysinfo,,,"Java Platform API Specification",1337885560097
java.specification.vendor,sysinfo,,,"Oracle Corporation",1337885560097
