what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1337941105295
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1337941122837
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337941122873
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1337941128277
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1337941230577
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337941230594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337941257292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337941571971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337941573156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337941639456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337941640756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337941665477
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337942220595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337942338649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337942385772
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337942695836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337943163926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337943165051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337943198646
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337943207167
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337943222050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337943319831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337943636222
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337943638035
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337943678468
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337943687346
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337944023349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337944048954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337944055074
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1337944059653
error,log,,,"Core exception while retrieving the content description",1337944073271
error,log,,,"Core exception while retrieving the content description",1337944073274
error,log,,,"Core exception while retrieving the content description",1337944073277
error,log,,,"Core exception while retrieving the content description",1337944073280
error,log,,,"Core exception while retrieving the content description",1337944073283
error,log,,,"Core exception while retrieving the content description",1337944073285
error,log,,,"Core exception while retrieving the content description",1337944073288
error,log,,,"Core exception while retrieving the content description",1337944073290
error,log,,,"Core exception while retrieving the content description",1337944073294
error,log,,,"Core exception while retrieving the content description",1337944073297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337944086324
started,bundle,org.eclipse.pde,3.7.2.v201202080800,"org.eclipse.pde",1337944102128
